LP.;Nazwa konferencji;Liczba punktów;Przypisane dyscypliny naukowe
1243;International Conference on Principles of Practice in Multi-Agent Systems [PRIMA];70;"informatyka techniczna i telekomunikacja;
informatyka;"
1244;Pacific Rim Knowledge Acquisition Workshop [PKAW];70;"informatyka techniczna i telekomunikacja;
informatyka;"
1245;Pacific Symposium on Biocomputing [PSB];20;"informatyka techniczna i telekomunikacja;
informatyka;"
1246;Pacific-Asia Conference on Knowledge Discovery and Data Mining [PAKDD];140;"informatyka techniczna i telekomunikacja;
informatyka;"
1247;Pacific-Asia Workshop on Electronic Commerce [PAWEC];20;"informatyka techniczna i telekomunikacja;
informatyka;"
1248;Pacific-Rim Conference on Multimedia [PCM];20;"informatyka techniczna i telekomunikacja;
informatyka;"
1249;Pacific-Rim Symposium on Image and Video Technology [PSIVT];70;"informatyka techniczna i telekomunikacja;
informatyka;"
1250;Pan Pacific Conference on Information Systems [PPCIS];20;"informatyka techniczna i telekomunikacja;
informatyka;"
1251;Pan-Sydney Area Workshop on Visual Information Processing [VIP];20;"informatyka techniczna i telekomunikacja;
informatyka;"
1252;Parallel and Distributed Information Systems [PDIS];20;"informatyka techniczna i telekomunikacja;
informatyka;"
1253;Parallel Computing [PARCO];20;"informatyka techniczna i telekomunikacja;
informatyka;"
1254;Parallel Problem Solving from Nature [PPSN];140;"informatyka techniczna i telekomunikacja;
informatyka;"
1255;Participatory Design Conference [PDC];70;"informatyka techniczna i telekomunikacja;
informatyka;"
1256;Passive and Active Measurement Conference [PAM];70;"informatyka techniczna i telekomunikacja;
informatyka;"
1257;Pattern Languages of Programs [PLOP];70;"informatyka techniczna i telekomunikacja;
informatyka;"
1258;Portuguese Conference on Artificial Intelligence [EPIA];20;"informatyka techniczna i telekomunikacja;
informatyka;"
1259;Practical Application of Intelligent Agents and Multi-Agent Technology Conference [PAAM];20;"informatyka techniczna i telekomunikacja;
informatyka;"
1260;Practical Aspects of Declarative Languages [PADL];70;"informatyka techniczna i telekomunikacja;
informatyka;"
1261;Practical Aspects of PROLOG/Constraint Technology [PAP/PACT];20;"informatyka techniczna i telekomunikacja;
informatyka;"
1262;Practice and Theory of Automated Timetabling [PATAT];70;"informatyka techniczna i telekomunikacja;
informatyka;"
1263;Practices of Linking Aspect Technology and Evolution [PLATE];20;"informatyka techniczna i telekomunikacja;
informatyka;"
1264;Prague Stringology Conference [PSC];20;"informatyka techniczna i telekomunikacja;
informatyka;"
1265;Principles and Practice of Parallel Programming [PPoPP];140;"informatyka techniczna i telekomunikacja;
informatyka;"
1266;International Conference on Managed Programming Languages and Runtimes (was ManLang and previously Principles and Practice of Programming in Java: PPPJ) [MPLR];20;"informatyka techniczna i telekomunikacja;
informatyka;"
1267;Privacy in Statistical Databases [PSD];20;"informatyka techniczna i telekomunikacja;
informatyka;"
1268;Processing Declarative Knowledge, International Workshop [PDK];20;"informatyka techniczna i telekomunikacja;
informatyka;"
1269;Product Focused Software Process Improvement [PROFES];70;"informatyka techniczna i telekomunikacja;
informatyka;"
1270;Program Visualization Workshop [PVW];20;"informatyka techniczna i telekomunikacja;
informatyka;"
1271;Programming Language Techniques for XML [PLAN-X];20;"informatyka techniczna i telekomunikacja;
informatyka;"
1272;Real Time Systems Symposium [RTSS];200;"informatyka techniczna i telekomunikacja;
informatyka;"
1273;Reflection, AOP and Meta-Data for Software Evolution [RAM-SE];20;"informatyka techniczna i telekomunikacja;
informatyka;"
1274;Relationships and Associations in Object-Oriented Languages [RAOOL];20;"informatyka techniczna i telekomunikacja;
informatyka;"
1275;Richard Tapia Celebration of Diversity in Computing Conference [Tapia];20;"informatyka techniczna i telekomunikacja;
informatyka;"
1276;Robot Soccer World Cup [RoboCup];70;"informatyka techniczna i telekomunikacja;
informatyka;"
1277;Robotics: Systems and Science [RSS];200;"informatyka techniczna i telekomunikacja;
informatyka;"
1278;RSA Conference [RSA];70;"informatyka techniczna i telekomunikacja;
informatyka;"
1279;Search: Workshop on Search, Sorting and Coding [Search];20;"informatyka techniczna i telekomunikacja;
informatyka;"
1280;Semantic Web Visualisation [VSW];20;"informatyka techniczna i telekomunikacja;
informatyka;"
1281;Sensor Networks [Sensor Networks];20;"informatyka techniczna i telekomunikacja;
informatyka;"
1282;Service Oriented Computing: Consequences for Engineering Requirements [SOCCER];20;"informatyka techniczna i telekomunikacja;
informatyka;"
1283;SGAI International Conference on Artificial Intelligence [SGAI];20;"informatyka techniczna i telekomunikacja;
informatyka;"
1284;SIAM Conference on Discrete Mathematics [DM];20;"informatyka techniczna i telekomunikacja;
informatyka;"
1285;SIAM Conference on Geometric Design [GeoD];20;"informatyka techniczna i telekomunikacja;
informatyka;"
1286;SIAM Conference on Optimization [OP];20;"informatyka techniczna i telekomunikacja;
informatyka;"
1287;SIAM International Conference on Data Mining [SDM];140;"informatyka techniczna i telekomunikacja;
informatyka;"
1288;SIAM Workshop on Algorithms for Listing, Counting, and Enumeration [ALICE];20;"informatyka techniczna i telekomunikacja;
informatyka;"
1289;SIGdial Workshop on Discourse and Dialog [SIGdial];20;"informatyka techniczna i telekomunikacja;
informatyka;"
1290;SIGIR workshop: Stylistic Analysis of Text For Information Access [Style];20;"informatyka techniczna i telekomunikacja;
informatyka;"
1291;SIGOPT - International Conference on Optimization [ICO];20;"informatyka techniczna i telekomunikacja;
informatyka;"
1292;Simulation Technology and Training Conference [SimTecT];20;"informatyka techniczna i telekomunikacja;
informatyka;"
1293;Singapore International Conference on Intelligent Systems [SPICIS];70;"informatyka techniczna i telekomunikacja;
informatyka;"
1294;SKLOIS Conference on Information Security and Cryptology [Inscrypt];70;"informatyka techniczna i telekomunikacja;
informatyka;"
1295;"Smart Card Research and Advanced Application Conference [CARDIS]
(Smart Card Research and Advanced Application Conference [SCRAA])";70;"informatyka techniczna i telekomunikacja;
informatyka;"
1296;Soft Computing in Computer Graphics, Imaging, and Vision [SCCGIV];20;"informatyka techniczna i telekomunikacja;
informatyka;"
1297;Software Education Conference [SRIG-ET];20;"informatyka techniczna i telekomunikacja;
informatyka;"
1298;Software Performance Enhancement for Encryption and Decryption [SPEED];20;"informatyka techniczna i telekomunikacja;
informatyka;"
1299;Software Quality Conference [SQC];20;"informatyka techniczna i telekomunikacja;
informatyka;"
1300;Software Technology and Engineering Practice Conference [STEP];70;"informatyka techniczna i telekomunikacja;
informatyka;"
1301;South African International Graph Theory Conference [SAIGTC];20;"informatyka techniczna i telekomunikacja;
informatyka;"
1302;Southeastern International Conference on Combinatorics, Graph Theory, and Computing;20;"informatyka techniczna i telekomunikacja;
informatyka;"
1303;Spatial Information Research Centre Colloquium [SIRC];20;"informatyka techniczna i telekomunikacja;
informatyka;"
1304;Spatial Information Science and Technology Conference [SIST];20;"informatyka techniczna i telekomunikacja;
informatyka;"
1305;Special-purpose Hardware for Attacking Cryptographic Systems [SHARCS];20;"informatyka techniczna i telekomunikacja;
informatyka;"
1306;SPIE Conference on Performance and Control of Network Systems [PCNS];20;"informatyka techniczna i telekomunikacja;
informatyka;"
1307;SPIE Conference on Visual Data Exploration and Analysis [VDEA];20;"informatyka techniczna i telekomunikacja;
informatyka;"
1308;SPIE International Conference on Multimedia Storage and Archiving Systems [MSAS];20;"informatyka techniczna i telekomunikacja;
informatyka;"
1309;IEEE International Conference on Visual Communications and Image Processing [VCIP];70;"informatyka techniczna i telekomunikacja;
informatyka;"
1310;Spring Conference on Computer Graphics [SCCG];20;"informatyka techniczna i telekomunikacja;
informatyka;"
1311;State of the Art of Stream Ciphers [SASC];20;"informatyka techniczna i telekomunikacja;
informatyka;"
1312;Static Analysis Symposium [SAS];140;"informatyka techniczna i telekomunikacja;
informatyka;"
1313;Stochastic Local Search Algorithms [SLS];20;"informatyka techniczna i telekomunikacja;
informatyka;"
1314;Storage and Retrieval for Media Databases (was Storage and Retrieval for Image and Video Databases) [SRMD];20;"informatyka techniczna i telekomunikacja;
informatyka;"
1315;Structural and Syntactical Pattern Recognition [SSPR];140;"informatyka techniczna i telekomunikacja;
informatyka;"
1316;Summer Computer Simulation Conference [SCSC];70;"informatyka techniczna i telekomunikacja;
informatyka;"
1317;Summer School on Modelling and Verification of Parallel Processes [MOVEP];20;"informatyka techniczna i telekomunikacja;
informatyka;"
1318;Symposia on VLSI Technology and Circuits [VLSI];140;"informatyka techniczna i telekomunikacja;
informatyka;"
1319;Symposium Model Analysis and Simulation of Computer and Telecommunications Systems [MASCOTS];140;"informatyka techniczna i telekomunikacja;
informatyka;"
1320;Symposium of Asian Association for Algorithms and Computation [AAAC];20;"informatyka techniczna i telekomunikacja;
informatyka;"
1321;Symposium on Abstraction, Reformulation and Approximation [SARA];70;"informatyka techniczna i telekomunikacja;
informatyka;"
1322;ACM Symposium on Access Control Models and Technologies [SACMAT];20;"informatyka techniczna i telekomunikacja;
informatyka;"
1323;Symposium on Advances in DB and Information Systems [ADBIS];70;"informatyka techniczna i telekomunikacja;
informatyka;"
1324;Symposium on Assessment of Quality S/W Dev Tools [AQSDT];20;"informatyka techniczna i telekomunikacja;
informatyka;"
1325;Symposium on Cellular Automata [JAC];20;"informatyka techniczna i telekomunikacja;
informatyka;"
1326;Symposium On Combinatorics, Algorithms, Probabilistic and Experimental Methodologies [ESCAPE];20;"informatyka techniczna i telekomunikacja;
informatyka;"
1327;Symposium on Computational Geometry for Mechanics and Applications [SOCGMA];20;"informatyka techniczna i telekomunikacja;
informatyka;"
1328;Symposium on Design, Analysis, and Simulation of Distributed Systems [DASD];20;"informatyka techniczna i telekomunikacja;
informatyka;"
1329;Symposium on Discrete Mathematics [EDM];20;"informatyka techniczna i telekomunikacja;
informatyka;"
1330;Symposium on Geometry Processing [SGP];70;"informatyka techniczna i telekomunikacja;
informatyka;"
1331;Symposium on Information Technology and Information Systems [ITIS];20;"informatyka techniczna i telekomunikacja;
informatyka;"
1332;Symposium on Logical Formalizations of Commonsense Reasoning [COMMONSENSE];70;"informatyka techniczna i telekomunikacja;
informatyka;"
1333;Symposium on Networked Systems, Design and Implementation [NSDI];70;"informatyka techniczna i telekomunikacja;
informatyka;"
1334;Symposium on Parallelism in Algorithms and Architectures [SPAA];140;"informatyka techniczna i telekomunikacja;
informatyka;"
1335;Symposium on Programs as Data Objects [PADO];20;"informatyka techniczna i telekomunikacja;
informatyka;"
1336;Symposium on Reliable Distributed Systems [SRDS];140;"informatyka techniczna i telekomunikacja;
informatyka;"
1337;Symposium on Requirements Engineering for Information Security [SREIS];20;"informatyka techniczna i telekomunikacja;
informatyka;"
1338;Symposium on Stabilization, Safety, and Security of Distributed Systems [SSS];20;"informatyka techniczna i telekomunikacja;
informatyka;"
1339;Symposium on Stochastic Algorithms, Foundations and Applications [SAGA];20;"informatyka techniczna i telekomunikacja;
informatyka;"
1340;Systems Engineering / Test and Evaluation Conference [SETE];20;"informatyka techniczna i telekomunikacja;
informatyka;"
1341;TAI: Algorithmic Information Theory: Kolmogorov Complexity [TAI];20;"informatyka techniczna i telekomunikacja;
informatyka;"
1342;Tangible, Embedded, and Embodied Interaction [TEI];140;"informatyka techniczna i telekomunikacja;
informatyka;"
1343;Techniques and Problems in Graph Theory [TPGT];20;"informatyka techniczna i telekomunikacja;
informatyka;"
1344;Technology of Object-Oriented Languages and Systems [TOOLS];70;"informatyka techniczna i telekomunikacja;
informatyka;"
1345;Testbeds and Research Infrastructures for the Development of Networks and Communities [TridentCom];70;"informatyka techniczna i telekomunikacja;
informatyka;"
1346;The Claude Shannon Workshop on Coding and Cryptography;20;"informatyka techniczna i telekomunikacja;
informatyka;"
1347;The Conference on visualization of information [SEE];20;"informatyka techniczna i telekomunikacja;
informatyka;"
1348;The International Conference on Semantic Web and Web Services [SWWS];20;"informatyka techniczna i telekomunikacja;
informatyka;"
1349;The International Workshop on Algorithms and Graphs [IWAAG];20;"informatyka techniczna i telekomunikacja;
informatyka;"
1350;The Modelling and Simulation Society of Australia and New Zealand Meeting [ANZMODS];20;"informatyka techniczna i telekomunikacja;
informatyka;"
1351;The organizational semiotics Conference [ORGSEM];70;"informatyka techniczna i telekomunikacja;
informatyka;"
1352;The Theory and Application of Diagrams [DIAGRAMS];70;"informatyka techniczna i telekomunikacja;
informatyka;"
1353;Theoretical Aspects of Rationality and Knowledge [TARK];140;"informatyka techniczna i telekomunikacja;
informatyka;"
1354;Theory of Cryptography Conference [TCC];140;"informatyka techniczna i telekomunikacja;
informatyka;"
1355;Tools and Algorithms for Construction and Analysis of Systems [TACAS];140;"informatyka techniczna i telekomunikacja;
informatyka;"
1356;Topological and Geometric Graph Theory [TGGT];20;"informatyka techniczna i telekomunikacja;
informatyka;"
1357;Trustworthy Interfaces for Passwords and Personal Information workshop [TIPPI];20;"informatyka techniczna i telekomunikacja;
informatyka;"
1358;ACM International Joint Conference on Pervasive and Ubiquitous Computing [UbiComp];200;"informatyka techniczna i telekomunikacja;
informatyka;"
1359;Unconventional Models of Computation [UMC];70;"informatyka techniczna i telekomunikacja;
informatyka;"
1360;"Machines, Computations and Universality [MCU]
(Universal Machines and Computations [MCU])";70;"informatyka techniczna i telekomunikacja;
informatyka;"
1361;"Usable Security and Privacy [USEC]
(Usable Security Workshop [USEC])";20;"informatyka techniczna i telekomunikacja;
informatyka;"
1362;Usenix Annual Technical Conference [USENIX];140;"informatyka techniczna i telekomunikacja;
informatyka;"
1363;Conference on File and Storage Technologies [FAST];140;"informatyka techniczna i telekomunikacja;
informatyka;"
1364;Usenix Network and Distributed System Security Symposium [NDSS];200;"informatyka techniczna i telekomunikacja;
informatyka;"
1365;Usenix Security Symposium [USENIX-Security];200;"informatyka techniczna i telekomunikacja;
informatyka;"
1366;Usenix Symposium on Operating Systems Design and Implementation [OSDI];200;"informatyka techniczna i telekomunikacja;
informatyka;"
1367;USENIX Windows NT Symposium [UWNTS];20;"informatyka techniczna i telekomunikacja;
informatyka;"
1368;USENIX Workshop on Electronic Commerce [USENIX EC];20;"informatyka techniczna i telekomunikacja;
informatyka;"
1369;USENIX Workshop on Hot Topics in Operating Systems [HotOS];140;"informatyka techniczna i telekomunikacja;
informatyka;"
1370;USENIX/ACCURATE Electronic Voting Technology Workshop [EVT];20;"informatyka techniczna i telekomunikacja;
informatyka;"
1371;Verification, Model Checking and Abstract Interpretation [VMCAI];70;"informatyka techniczna i telekomunikacja;
informatyka;"
1372;Vision Interface [VI];20;"informatyka techniczna i telekomunikacja;
informatyka;"
1373;VisMasters Design Modelling and Visualization Conference [DMVC];20;"informatyka techniczna i telekomunikacja;
informatyka;"
1374;"Visual Analytics [EuroVA]
(Visual Analytics [VA])";20;"informatyka techniczna i telekomunikacja;
informatyka;"
1375;Visual Information Communication and Interaction [VINCI];20;"informatyka techniczna i telekomunikacja;
informatyka;"
1376;Visual Languages and Formal Methods [VLFM];20;"informatyka techniczna i telekomunikacja;
informatyka;"
1377;Visualisation in Built Environment [BuiltViz];20;"informatyka techniczna i telekomunikacja;
informatyka;"
1378;"Visualization In Science and Education [GRC]
(Visualization In Science and Education [VISE])";20;"informatyka techniczna i telekomunikacja;
informatyka;"
1379;Visualization in Software Engineering [SEViz];20;"informatyka techniczna i telekomunikacja;
informatyka;"
1380;Visualization in Software Product Lines Workshop [VisPLE];20;"informatyka techniczna i telekomunikacja;
informatyka;"
1381;Web Visualization [WebViz];20;"informatyka techniczna i telekomunikacja;
informatyka;"
1382;Western Australian Workshop on Information Systems Research [WAWISR];20;"informatyka techniczna i telekomunikacja;
informatyka;"
1383;Winter Simulation Conference [WSC];70;"informatyka techniczna i telekomunikacja;
informatyka;"
1384;Workshop in Information Security Theory and Practices [WISTP];20;"informatyka techniczna i telekomunikacja;
informatyka;"
1385;Workshop on Ad Hoc and Ubiquitous computing [AUC];20;"informatyka techniczna i telekomunikacja;
informatyka;"
1386;Workshop on Algorithm Engineering [WAE];70;"informatyka techniczna i telekomunikacja;
informatyka;"
1387;Workshop on Algorithm Engineering and Experiments [ALENEX];140;"informatyka techniczna i telekomunikacja;
informatyka;"
1388;Workshop on Algorithmic Approaches for Transportation Modelling, Optimization, and Systems [ATMOS];20;"informatyka techniczna i telekomunikacja;
informatyka;"
1389;Workshop on Algorithmic Aspects of Advanced Programming Languages [WAAAPL];20;"informatyka techniczna i telekomunikacja;
informatyka;"
1390;Workshop on Algorithms And Models For The Web Graph [WAW];20;"informatyka techniczna i telekomunikacja;
informatyka;"
1391;Workshop on Algorithms in Bioinformatics [WABI];70;"informatyka techniczna i telekomunikacja;
informatyka;"
1392;Workshop on Algorithms, Combinatorics, and Geometry [ACG];20;"informatyka techniczna i telekomunikacja;
informatyka;"
1393;Workshop on Analytic Algorithmics and Combinatorics [ANALCO];70;"informatyka techniczna i telekomunikacja;
informatyka;"
1394;Workshop on Applications of Graph Theory in Wireless Ad hoc Networks and Sensor Networks [Graph-hoc];20;"informatyka techniczna i telekomunikacja;
informatyka;"
1395;Workshop on Approximation and Online Algorithms [WAOA];70;"informatyka techniczna i telekomunikacja;
informatyka;"
1396;Workshop on Approximation and Randomization Algorithms in Communication Networks [ARACNE];20;"informatyka techniczna i telekomunikacja;
informatyka;"
1397;Workshop on Aspect Oriented Requirements Engineering and Architecture Design [Early Aspects];20;"informatyka techniczna i telekomunikacja;
informatyka;"
1398;Workshop on Aspect-Oriented Modelling [AOM];20;"informatyka techniczna i telekomunikacja;
informatyka;"
1399;Workshop on Aspects, Components, and Patterns for Infrastructure Software [ACP4IS];20;"informatyka techniczna i telekomunikacja;
informatyka;"
1400;Workshop on Assurance Cases for Security [DSN];20;"informatyka techniczna i telekomunikacja;
informatyka;"
1401;Workshop on Australasian Information Security, Data Mining and Web Intelligence, and Software Internationalisation [AISW];20;"informatyka techniczna i telekomunikacja;
informatyka;"
1402;Workshop on Combinatorial and Algorithmic Aspects of Networking [CAAN];70;"informatyka techniczna i telekomunikacja;
informatyka;"
1403;Workshop on Component-Oriented Programming [WCOP];20;"informatyka techniczna i telekomunikacja;
informatyka;"
1404;Workshop on Computational and Conformal Geometry [CCG];20;"informatyka techniczna i telekomunikacja;
informatyka;"
1405;Workshop on Computational Geometry and Applications [CGA];20;"informatyka techniczna i telekomunikacja;
informatyka;"
1406;Workshop on Computational Graph Theory and Combinatorics [WCGTC];20;"informatyka techniczna i telekomunikacja;
informatyka;"
1407;"Workshop on Computational Optimization [WCO]
(Workshop on Computational Optimization [WCO-IMCSIT])";20;"informatyka techniczna i telekomunikacja;
informatyka;"
1408;Workshop on Computer Architecture Education [WCAE];20;"informatyka techniczna i telekomunikacja;
informatyka;"
1409;Workshop on Constraint Satisfaction for Planning and Scheduling [COPLAS];70;"informatyka techniczna i telekomunikacja;
informatyka;"
1410;Workshop on Cryptographic Hardware and Embedded Systems [CHES];140;"informatyka techniczna i telekomunikacja;
informatyka;"
1411;Workshop on Cryptography for Ad hoc Networks [WCAN];20;"informatyka techniczna i telekomunikacja;
informatyka;"
1412;Workshop on Data Engineering for Wireless and Mobile Access [MobiDE];20;"informatyka techniczna i telekomunikacja;
informatyka;"
1413;Workshop on Database Technology for Virtual Enterprises [DTVE?];20;"informatyka techniczna i telekomunikacja;
informatyka;"
1414;Workshop on Declarative Programming in the Context of OO Languages [DP-COOL];20;"informatyka techniczna i telekomunikacja;
informatyka;"
1415;Workshop on Distributed Data and Structures [WDAS];20;"informatyka techniczna i telekomunikacja;
informatyka;"
1416;Workshop on Domain Specific Modelling [DSM];20;"informatyka techniczna i telekomunikacja;
informatyka;"
1417;Workshop on Duplicating, Deconstructing, and Debunking [WDDD];20;"informatyka techniczna i telekomunikacja;
informatyka;"
1418;Workshop on Economics of Peer-to-Peer Systems [P2P Econ];20;"informatyka techniczna i telekomunikacja;
informatyka;"
1419;Workshop on Elliptic Curve Cryptography [ECC];20;"informatyka techniczna i telekomunikacja;
informatyka;"
1420;Workshop on Fault Diagnosis and Tolerance in Cryptography [FDTC];20;"informatyka techniczna i telekomunikacja;
informatyka;"
1421;"Workshop on Formal Techniques for Java-like Programs [FTfJP]
(Workshop on Formal Techniques for Java Programs [FTJP])";20;"informatyka techniczna i telekomunikacja;
informatyka;"
1422;Workshop On Java For High-Performance Computing [JHPC];20;"informatyka techniczna i telekomunikacja;
informatyka;"
1423;Workshop on Job Scheduling Strategies for Parallel Processing [JSSPP];70;"informatyka techniczna i telekomunikacja;
informatyka;"
1424;Workshop on Localized Algorithms and Protocols for Wireless Sensor Networks [LOCALGOS];20;"informatyka techniczna i telekomunikacja;
informatyka;"
1425;Workshop on Logic and Learning [L&L];20;"informatyka techniczna i telekomunikacja;
informatyka;"
1426;Workshop on Logic, Language, Information and Computation [WoLLIC];70;"informatyka techniczna i telekomunikacja;
informatyka;"
1427;Workshop on Massive Data Algorithmics [Massive];20;"informatyka techniczna i telekomunikacja;
informatyka;"
1428;Workshop on Mobile Computing Systems and Applications [HOTMOBILE];20;"informatyka techniczna i telekomunikacja;
informatyka;"
1429;Workshop on Multiparadigm Programming with OO Languages [MPOOL];20;"informatyka techniczna i telekomunikacja;
informatyka;"
1430;Workshop on Nature Inspired Distributed Computing [NISDIC];20;"informatyka techniczna i telekomunikacja;
informatyka;"
1431;Workshop on Network-Related Data Management [NRDM];20;"informatyka techniczna i telekomunikacja;
informatyka;"
1432;Workshop on New Technologies for Personalized Information Access [PIA];20;"informatyka techniczna i telekomunikacja;
informatyka;"
1433;Workshop on Object-Oriented Database Systems [OODBS];20;"informatyka techniczna i telekomunikacja;
informatyka;"
1434;Workshop on Object-Oriented Development [WOOD];20;"informatyka techniczna i telekomunikacja;
informatyka;"
1435;Workshop on On-Line Algorithms [OLA];20;"informatyka techniczna i telekomunikacja;
informatyka;"
1436;Workshop on Parallel and Distributed Debugging ACM/ONR [PADD];20;"informatyka techniczna i telekomunikacja;
informatyka;"
1437;Workshop on Parameterized Complexity [WPC];20;"informatyka techniczna i telekomunikacja;
informatyka;"
1438;Workshop on Physics and Computation [PC];20;"informatyka techniczna i telekomunikacja;
informatyka;"
1439;Workshop on Power Aware Computing and Systems [HotPower];70;"informatyka techniczna i telekomunikacja;
informatyka;"
1440;Workshop on Probabilistic Graph Theory [PGT];20;"informatyka techniczna i telekomunikacja;
informatyka;"
1441;Workshop on Programming Languages and Operating Systems [PLOS];70;"informatyka techniczna i telekomunikacja;
informatyka;"
1442;Workshop on Quantum Information Processing [QIP];20;"informatyka techniczna i telekomunikacja;
informatyka;"
1443;Workshop on Real-Time Databases [RTDB];20;"informatyka techniczna i telekomunikacja;
informatyka;"
1444;Workshop on Research Issues in Data Mining and Knowledge Discovery [DMKD];20;"informatyka techniczna i telekomunikacja;
informatyka;"
1445;Workshop on Robust Shape Operations [WRSO];20;"informatyka techniczna i telekomunikacja;
informatyka;"
1446;International Conference on Runtime Verification [RV];20;"informatyka techniczna i telekomunikacja;
informatyka;"
1447;Workshop on Scientific Knowledge, Information, and Computing [SIDEKIC];20;"informatyka techniczna i telekomunikacja;
informatyka;"
1448;Workshop on Security and Privacy in e-Commerce [SPEC];20;"informatyka techniczna i telekomunikacja;
informatyka;"
1449;Workshop on Service Oriented Computing [SOCASE];20;"informatyka techniczna i telekomunikacja;
informatyka;"
1450;Workshop on the Arithmetic of Finite Fields [WAIFI];20;"informatyka techniczna i telekomunikacja;
informatyka;"
1451;Workshop on Theoretical and Algorithmic Aspects of Sensor and Ad-hoc Networks [WTASA];20;"informatyka techniczna i telekomunikacja;
informatyka;"
1452;Workshop on Uncertainty in Geometric Computations [GEOM Uncertainty];20;"informatyka techniczna i telekomunikacja;
informatyka;"
1453;Workshop on Web Usage Analysis [WebKDD];20;"informatyka techniczna i telekomunikacja;
informatyka;"
1454;World Computer Congress [WCC];20;"informatyka techniczna i telekomunikacja;
informatyka;"
1455;World Conference on the WWW and Internet [WebNet];20;"informatyka techniczna i telekomunikacja;
informatyka;"
1456;World Congress in Computer Science, Computer Engineering, and Applied Computing [WORLDCOMP];20;"informatyka techniczna i telekomunikacja;
informatyka;"
1457;World Congress on Expert Systems [WCES];70;"informatyka techniczna i telekomunikacja;
informatyka;"
1458;"World Congress on Medical and Health Informatics [MEDINFO]
(World Congress on Medical Informatics [MEDINFO])";70;"informatyka techniczna i telekomunikacja;
informatyka;"
1459;World Congress on Neural Networks [WCNN];70;"informatyka techniczna i telekomunikacja;
informatyka;"
1460;Australasian Document Computing Symposium [ADCS];20;"informatyka techniczna i telekomunikacja;
informatyka;"
1461;Artificial Intelligence and Applications Conference [AIA];20;"informatyka techniczna i telekomunikacja;
informatyka;"
1462;Australian Institute of Computer Ethics Conference [AICEC];20;"informatyka techniczna i telekomunikacja;
informatyka;"
1463;International Conference on AI in Design [AID];140;"informatyka techniczna i telekomunikacja;
informatyka;"
1464;International Conference on Artificial Intelligence in Education [AIED];140;"informatyka techniczna i telekomunikacja;
informatyka;"
1465;Algorithms and Experiments [ALEX];70;"informatyka techniczna i telekomunikacja;
informatyka;"
1466;"Australasian Language Techology Workshop [ALTA]
(Australasian Language Techology Workshop [ALTW])";20;"informatyka techniczna i telekomunikacja;
informatyka;"
1467;American Medical Informatics Annual Fall Symposium [AMIA];140;"informatyka techniczna i telekomunikacja;
informatyka;"
1468;Joint Conference on Declarative Programming APPIA-GULP-PRODE [APPIA/GULP/PRODE];20;"informatyka techniczna i telekomunikacja;
informatyka;"
1469;National Conference of the Australian Robot Association [ARA];20;"informatyka techniczna i telekomunikacja;
informatyka;"
1470;Australasian Remote Sensing Conference [ARSC];20;"informatyka techniczna i telekomunikacja;
informatyka;"
1471;National Conference of The Australian Society for Operations Research [ASOR];20;"informatyka techniczna i telekomunikacja;
informatyka;"
1472;Australian Joint Conference on Artificial Intelligence [AusAI];20;"informatyka techniczna i telekomunikacja;
informatyka;"
1473;Australian Women in IT Conference [AusWIT];20;"informatyka techniczna i telekomunikacja;
informatyka;"
1474;IEEE/IFAC Joint Symposium on Intelligent Control [CACSD];70;"informatyka techniczna i telekomunikacja;
informatyka;"
1475;International Command and Control Research and Technology Symposium  [CCRTS ];20;"informatyka techniczna i telekomunikacja;
informatyka;"
1476;Intelligent Multimedia, Computing and Communications Technologies and Applications of the Future  [CCTAF ];20;"informatyka techniczna i telekomunikacja;
informatyka;"
1477;IEEE Conference on Electronic Commerce Technology and Enterprise Computing, e_Commerce and e-Services  [CBI (was CEC/EEE) ];70;"informatyka techniczna i telekomunikacja;
informatyka;"
1478;Annual Conference on Computer Science Logic [CSL];70;"informatyka techniczna i telekomunikacja;
informatyka;"
1479;Design Automation Conf [DAC];140;"informatyka techniczna i telekomunikacja;
informatyka;"
1480;Digital Audio Effects Conference [DAFX];70;"informatyka techniczna i telekomunikacja;
informatyka;"
1481;International Workshop on Document Analysis Systems [DAS];70;"informatyka techniczna i telekomunikacja;
informatyka;"
1482;Australian Pattern Recognition Society Conference [DICTA];20;"informatyka techniczna i telekomunikacja;
informatyka;"
1483;Joint DICTA & IVCNZ [DICTA/IVCNZ];20;"informatyka techniczna i telekomunikacja;
informatyka;"
1484;IEEE International Workshop on Distributed Intelligent Simululation and Real-Time Applications [DISRA];70;"informatyka techniczna i telekomunikacja;
informatyka;"
1485;Doing IT at Melbourne [DITAM];20;"informatyka techniczna i telekomunikacja;
informatyka;"
1486;ACM Symposium on Document Engineering [DocEng];70;"informatyka techniczna i telekomunikacja;
informatyka;"
1487;Deductive and Object-Oriented Databases [DOOD];140;"informatyka techniczna i telekomunikacja;
informatyka;"
1488;Distributed Simulation Symposium  [DSS];70;"informatyka techniczna i telekomunikacja;
informatyka;"
1489;International Conference on Decision Support Through Knowledge Management  [DSTKM];20;"informatyka techniczna i telekomunikacja;
informatyka;"
1490;Information Systems &Technologies /SPIE Conference on Digital Video Compression Algorithms & Techniques [DVAT];20;"informatyka techniczna i telekomunikacja;
informatyka;"
