LP.;Nazwa konferencji;Liczba punktów;Przypisane dyscypliny naukowe
159;Australasian Computer Science Conference [ACSC];20;"informatyka techniczna i telekomunikacja;
informatyka;"
160;Asia-Pacific Computer Systems Architecture Conference [ACSAC];20;"informatyka techniczna i telekomunikacja;
informatyka;"
161;Australasian Computers in Education Conference [ACEC];20;"informatyka techniczna i telekomunikacja;
informatyka;"
162;Australasian Conference on Combinatorial Mathematics and Combinatorial Computing [ACCMCC];20;"informatyka techniczna i telekomunikacja;
informatyka;"
163;Australasian Computing Education Conference (ACE) [ACE];20;"informatyka techniczna i telekomunikacja;
informatyka;"
164;Australasian Conference on Information Security and Privacy [ACISP];20;"informatyka techniczna i telekomunikacja;
informatyka;"
165;Australasian Conference on Information Systems [ACIS];20;"informatyka techniczna i telekomunikacja;
informatyka;"
166;Australasian Conference on Parallel and Real-Time Systems [APRTS];20;"informatyka techniczna i telekomunikacja;
informatyka;"
167;Australasian Conference on Pattern Languages of Programs [KoalaPLoP];20;"informatyka techniczna i telekomunikacja;
informatyka;"
168;Australasian Conference on Robotics and Automation [ACRA];20;"informatyka techniczna i telekomunikacja;
informatyka;"
169;Australasian Database Conference [ADC];20;"informatyka techniczna i telekomunikacja;
informatyka;"
170;Australasian Information Security Conference [AISC];20;"informatyka techniczna i telekomunikacja;
informatyka;"
171;Australasian Information Security Workshop 2007 (Privacy Enhancing Technologies) [AISW-PET];20;"informatyka techniczna i telekomunikacja;
informatyka;"
172;Australasian Joint Conference on Artificial Intelligence [AI];20;"informatyka techniczna i telekomunikacja;
informatyka;"
173;Australasian Refinement Workshop [AuRW];20;"informatyka techniczna i telekomunikacja;
informatyka;"
174;Australasian Speech Science and Technology [SST];20;"informatyka techniczna i telekomunikacja;
informatyka;"
175;Australasian Symposium on Grid Computing and e-Research (now AusPDC) [AusGrid];20;"informatyka techniczna i telekomunikacja;
informatyka;"
176;Australasian Symposium on Parallel and Distributed Computing (was AusGrid) [AusPDC];20;"informatyka techniczna i telekomunikacja;
informatyka;"
177;Australasian Urban and Regional Information Systems Association Conference [AURISA];20;"informatyka techniczna i telekomunikacja;
informatyka;"
178;Australasian User Interface Conference [AUIC];20;"informatyka techniczna i telekomunikacja;
informatyka;"
179;Australasian Women in Computing Workshop [WIC];20;"informatyka techniczna i telekomunikacja;
informatyka;"
180;Australasian Workshop on Combinatorial Algorithms [AWOCA];20;"informatyka techniczna i telekomunikacja;
informatyka;"
181;Australasian Workshop on Health Data and Knowledge Management [HDKM];20;"informatyka techniczna i telekomunikacja;
informatyka;"
182;Asia Pacific Symposium on Intelligent and Evolutionary Systems [IES];20;"informatyka techniczna i telekomunikacja;
informatyka;"
183;Australian and New Zealand Academy of Management Conference [ANZAM];20;"informatyka techniczna i telekomunikacja;
informatyka;"
184;Australian and New Zealand Intelligent Information Systems Conference [ANZIIS];20;"informatyka techniczna i telekomunikacja;
informatyka;"
185;Australian and New Zealand Marketing Academy Conference [ANZMAC];20;"informatyka techniczna i telekomunikacja;
informatyka;"
